id	tweet	emotion	offensive	tweet_proc	cat1_score	cat2_score	cat3_score
1	Something to keep in mind... When situations like HASHTAG occursome lowlifes set up fake donation accounts and pocket the money so IF you are going to donate... Do some PROPER research first!  URL	disgust	0	something to keep in mind ... when situations like hashtag occursome lowlifes set up fake donation accounts and pocket the money so if you are going to donate ... do some proper research first ! url	0.04780687764286995	0.015307439491152763	0.014966855756938457
2	I'm really sorry about a whole history of 850 years. HASHTAG	sadness	0	i ' m really sorry about a whole history of 850 years . hashtag	0.020756106823682785	0.015189112164080143	0.022463861852884293
3	The kid in me is sobbing at all the Hunchback of Notre Dame drawings in reference to the Cathedral fire 😭💔 HASHTAG HASHTAG	sadness	0	the kid in me is sobbing at all the hunchback of notre dame drawings in reference to the cathedral fire : loudly_crying_face : : broken_heart : hashtag hashtag	0.019901590421795845	0.014272532425820827	0.01826505735516548
4	HASHTAG April30 New thread to share. A large group of bikers parades near the Presidential Palace to defend the government from the US orchestrated Coup.  Venezuela HASHTAG  URL	others	0	hashtag april 30 new thread to share . a large group of bikers parades near the presidential palace to defend the government from the us orchestrated coup . venezuela hashtag url	0.013907738961279392	0.0173488762229681	0.02878180332481861
5	It’s World Book Day and a great day to visit the new USER Capitol View Library.  There’s plenty of time! The library is open until 9 pm. HASHTAG HASHTAG  URL	joy	0	it ’ s world book day and a great day to visit the new user capitol view library . there ’ s plenty of time ! the library is open until 9 pm . hashtag hashtag url	0.015713993459939957	0.016387853771448135	0.024786556139588356
6	Celebrate HASHTAG with a pop quiz. How many children are impacted each week by Right To Play programs around the world? HASHTAG HASHTAG	joy	0	celebrate hashtag with a pop quiz . how many children are impacted each week by right to play programs around the world ? hashtag hashtag	0.03178035467863083	0.013772768899798393	0.015073627233505249
7	The most brilliant tactical battle I have seen in recent years. Klopp's trying to compress the field with pressing and Barca trying to win it back by expanding the field!  HASHTAG HASHTAG	joy	0	the most brilliant tactical battle i have seen in recent years . klopp ' s trying to compress the field with pressing and barca trying to win it back by expanding the field ! hashtag hashtag	0.03490836173295975	0.01435032393783331	0.02099466137588024
8	🤩Who’s winning tonight? ⚽️ 🥅  USER vs USER Tonight HASHTAG fixtures. Tune into HASHTAG at 12:30 am. HASHTAG  URL	others	0	: star-struck : who ’ s winning tonight ? : soccer_ball : : goal_net : user vs user tonight hashtag fixtures . tune into hashtag at 12:30 am . hashtag url	0.016031764447689056	0.01643289253115654	0.022550247609615326
9	Our posters HASHTAG were the opportunity for discussion with 2 groups of young people 15 then 14 years on the HASHTAG HASHTAG HASHTAG's book and our proposals HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG  URL	others	0	our posters hashtag were the opportunity for discussion with 2 groups of young people 15 then 14 years on the hashtag hashtag hashtag ' s book and our proposals hashtag hashtag hashtag hashtag hashtag hashtag url	0.013529081828892231	0.01878078281879425	0.041019946336746216
10	Season 8 episode 3 ... Epic .. but makes me feel the rest of the season is boring HASHTAG	others	0	season 8 episode 3 ... epic .. but makes me feel the rest of the season is boring hashtag	0.029477711766958237	0.01371308695524931	0.01409602165222168
11	HASHTAG HASHTAG HASHTAG this episode was freaking amazing.… HASHTAG URL	joy	0	hashtag hashtag hashtag this episode was freaking amazing . … hashtag url	0.01932941935956478	0.015390286222100258	0.02034524828195572
12	Barca officially champions of HASHTAG 2019🔥🔥🥳🔵🔴	joy	0	barca officially champions of hashtag 2019 : fire : : fire : :p artying_face : : blue_circle : : red_circle :	0.015147806145250797	0.016180971637368202	0.025284400209784508
13	Who makes these up? Shocking. No respect for the catastrophe that just happened. I suspect they will go to Hell.👹 they will be prodded by pitchforks for eternity Baby Jesus did not die on the cross to save all sinners for them to be so disrespectful 😤 HASHTAG  URL	others	1	who makes these up ? shocking . no respect for the catastrophe that just happened . i suspect they will go to hell . : ogre : they will be prodded by pitchforks for eternity baby jesus did not die on the cross to save all sinners for them to be so disrespectful : face_with_steam_from_nose : hashtag url	0.05355045199394226	0.012686253525316715	0.011912024579942226
14	HASHTAG is a very sad news. But it raises the question of  the value of HASHTAG.     URL ACCOUNTING FOR HERITAGE ASSETS USER HASHTAG HASHTAG HASHTAG HASHTAG	sadness	0	hashtag is a very sad news . but it raises the question of the value of hashtag . url accounting for heritage assets user hashtag hashtag hashtag hashtag	0.12483120709657669	0.012181044556200504	0.012651844881474972
15	It's always a tragedy to see a valuable piece of history get destroyed. People celebrating this as some kind of political victory are psychotic. HASHTAG	disgust	0	it ' s always a tragedy to see a valuable piece of history get destroyed . people celebrating this as some kind of political victory are psychotic . hashtag	0.046744972467422485	0.012865079566836357	0.014260535128414631
16	In honor of HASHTAG how about this one? HASHTAG? by HASHTAG. An eye opening read. This book provides a comprehensive collection of every aspect of what happened that day. Read it alone and absorb everything.  URL	joy	0	in honor of hashtag how about this one ? hashtag ? by hashtag . an eye opening read . this book provides a comprehensive collection of every aspect of what happened that day . read it alone and absorb everything . url	0.019902169704437256	0.017586221918463707	0.030913058668375015
17	Nothing like a rainbow book stack to get us in the mood for World Book Day. What’s your all-time favorite read? HASHTAG  URL	joy	1	nothing like a rainbow book stack to get us in the mood for world book day . what ’ s your all-time favorite read ? hashtag url	0.01764225773513317	0.015754777938127518	0.022440917789936066
